choice,da,db,dc,ra,rb,rc,dtn
2,1,1,1,1.3,1.3,1.3,1
1,1,0.716923194799073,1,1.3,1.28307680520093,1.3,1
3,0.767178117035212,0.801846236359351,1,1.23282188296479,1.28307680520093,1.3,1
2,0.837024681924648,0.861292365451546,0.801040848852998,1.23282188296479,1.28307680520093,1.198959151147,0.861292365451546
2,0.885917277347254,0.621425001585802,0.860728594197098,1.23282188296479,1.30159715097065,1.198959151147,0.621425001585802
2,0.920142094143078,0.454685641394295,0.902510015937969,1.23282188296479,1.32128529125488,1.198959151147,0.454685641394295
2,0.944099465900154,0.339908898000225,0.931757011156578,1.23282188296479,1.29965634223066,1.198959151147,0.339908898000225
2,0.960869626130108,0.242866014882324,0.952229907809605,1.23282188296479,1.30458612851283,1.198959151147,0.242866014882324
2,0.972608738291076,0.170015502622111,0.966560935466723,1.23282188296479,1.30457683630834,1.198959151147,0.170015502622111
2,0.980826116803753,0.160277726608412,0.976592654826706,1.23282188296479,1.26330996153541,1.198959151147,0.160277726608412
2,0.986578281762627,0.137865302208117,0.983614858378694,1.23282188296479,1.28898085511764,1.198959151147,0.137865302208117
2,0.990604797233839,0.143927944990778,0.988530400865086,1.23282188296479,1.33640308856274,1.198959151147,0.143927944990778
2,0.993423358063687,0.126716528825912,0.99197128060556,1.23282188296479,1.3623700558951,1.198959151147,0.126716528825912
2,0.995396350644581,0.106548392274031,0.994379896423892,1.23282188296479,1.380216877991,1.198959151147,0.106548392274031
2,0.996777445451207,0.0860326185679143,0.996065927496724,1.23282188296479,1.3687681340149,1.198959151147,0.0860326185679143
2,0.997744211815845,0.1005838619236,0.997246149247707,1.23282188296479,1.40912916294096,1.198959151147,0.1005838619236
2,0.998420948271091,0.129818041120884,0.998072304473395,1.23282188296479,1.46853850071533,1.198959151147,0.129818041120884
2,0.998894663789764,0.153518817758002,0.998650613131376,1.23282188296479,1.53118468968871,1.198959151147,0.153518817758002
2,0.999226264652834,0.123878648712626,0.999055429191963,1.23282188296479,1.54760016597074,1.198959151147,0.123878648712626
2,0.999458385256984,0.146553666293978,0.999338800434374,1.23282188296479,1.60743877816587,1.198959151147,0.146553666293978
2,0.999620869679889,0.140352074979338,0.999537160304062,1.23282188296479,1.64520328673943,1.198959151147,0.140352074979338
2,0.999734608775922,0.13219000795693,0.999676012212843,1.23282188296479,1.67914684221082,1.198959151147,0.13219000795693
2,0.999814226143145,0.115098164492931,0.99977320854899,1.23282188296479,1.7017120011339,1.198959151147,0.115098164492931
2,0.999869958300202,0.0975286561759773,0.999841245984293,1.23282188296479,1.68475206010298,1.198959151147,0.0975286561759773
2,0.999908970810141,0.0717292128539706,0.999888872189005,1.23282188296479,1.68821121363376,1.198959151147,0.0717292128539706
2,0.999936279567099,0.0652950739506278,0.999922210532303,1.23282188296479,1.70329583858661,1.198959151147,0.0652950739506278
2,0.999955395696969,0.091139162757505,0.999945547372612,1.23282188296479,1.65786322759455,1.198959151147,0.091139162757505
2,0.999968776987878,0.115401850641653,0.999961883160829,1.23282188296479,1.60625879088315,1.198959151147,0.115401850641653
2,0.999978143891515,0.11059969824182,0.99997331821258,1.23282188296479,1.57644038809048,1.198959151147,0.11059969824182
2,0.99998470072406,0.081232708190475,0.999981322748806,1.23282188296479,1.57262746866928,1.198959151147,0.081232708190475
2,0.999989290506842,0.102405841301603,0.999986925924164,1.23282188296479,1.52708452310101,1.198959151147,0.102405841301603
2,0.999992503354789,0.143814280719878,0.999990848146915,1.23282188296479,1.45495433129226,1.198959151147,0.143814280719878
2,0.999994752348353,0.139303429354924,0.99999359370284,1.23282188296479,1.41632089844125,1.198959151147,0.139303429354924
2,0.999996326643847,0.138623052968665,0.999995515591988,1.23282188296479,1.37521024602103,1.198959151147,0.138623052968665
2,0.999997428650693,0.102680557113481,0.999996860914392,1.23282188296479,1.36956582598561,1.198959151147,0.102680557113481
2,0.999998200055485,0.106017660224836,0.999997802640074,1.23282188296479,1.40370709623101,1.198959151147,0.106017660224836
2,0.999998740038839,0.104072420435597,0.999998461848052,1.23282188296479,1.43356715450922,1.198959151147,0.104072420435597
2,0.999999118027187,0.102920885371165,0.999998923293636,1.23282188296479,1.46363734557547,1.198959151147,0.102920885371165
2,0.999999382619031,0.0961716860518864,0.999999246305545,1.23282188296479,1.48776441186754,1.198959151147,0.0961716860518864
2,0.999999567833322,0.0685422403855347,0.999999472413882,1.23282188296479,1.48898647201676,1.198959151147,0.0685422403855347
